1	18cb876005e55	{"Start":1703901790308,"Page A":1703901795881,"The 2nd Question":1703901797199,"Page E":1703901798851,"Goal":1703901800053}
2	18cb876510c36f	{"Start":1703901810956,"Page B":1703901812357,"The 2nd Question":1703901813378,"Page F":1703901814253,"Goal":1703901815507}
3	18cb876780a254	{"Start":1703901820939,"Page C":1703901822614,"The 2nd Question":1703901823577,"Page D":1703901824848,"Goal":1703901825687}
4	18cb9cb720a3b9	{"Start":1703924167185,"Page B":1703924169094,"The 2nd Question":1703924170244,"Page F":1703924171538,"Goal":1703924172802}
5	18cb9cbb0b02b6	{"Start":1703924183217,"Page C":1703924184509,"The 2nd Question":1703924185442,"Page F":1703924186161,"Goal":1703924187190}
6	18cb9cbd0a22c7	{"Start":1703924191395,"Page C":1703924192303,"The 2nd Question":1703924194211,"Page D":1703924196107,"Goal":1703924198705}
7	18cb9cbf9bb321	{"Start":1703924201921,"Page A":1703924203155,"The 2nd Question":1703924204061,"Page D":1703924204755,"Goal":1703924205623}
8	18cb9cc13e0288	{"Start":1703924208609,"Page A":1703924210372,"The 2nd Question":1703924214352,"Page F":1703924215684,"Goal":1703924216688}
9	18cb9cc3e50399	{"Start":1703924219473,"Page A":1703924220953,"The 2nd Question":1703924223388,"Page D":1703924225613,"Goal":1703924226349}
10	18cb9d6b9aa236	{"Start":1703924906416,"Page C":1703924907652,"The 2nd Question":1703924908433,"Page F":1703924908967,"Goal":1703924910093}
11	18cb9d6dce432d	{"Start":1703924915429,"Page C":1703924916601,"The 2nd Question":1703924917345,"Page F":1703924917926,"Goal":1703924918834}
12	18cb9d6fcbd3c0	{"Start":1703924923582,"Page C":1703924924524,"The 2nd Question":1703924925227,"Page F":1703924926270,"Goal":1703924927062}
13	18cb9d87fc53ce	{"Start":1703925022667,"Page B":1703925023581,"The 2nd Question":1703925030804,"Page E":1703925031555,"Goal":1703925036629}
14	18cb9d8c5701c3	{"Start":1703925040497,"Page B":1703925042099,"The 2nd Question":1703925049257,"Page E":1703925050073,"Goal":1703925055881}
